0	1
US	222
GB	122
DE	40
CH	26
JP	20
FR	20
CA	15
IT	14
NL	8
CN	8
IN	8
NO	6
AU	4
IL	3
CZ	3
IE	3
DK	2
NZ	2
LU	1
SG	1
KE	1
ES	1
RU	1
SI	1
HU	1
BE	1
