date	prefix	url	message	context
2022-09-15	phosphopoint.protein	http://kinase.bioinformatics.tw/showall.jsp?type=PhosphoProtein&info=Gene&name=AURKA&drawing=0&sorting=0&kinome=0	ConnectionError	HTTPConnectionPool(host='kinase.bioinformatics.tw', port=80): Max retries exceeded with url: /showall.jsp?type=PhosphoProtein&info=Gene&name=AURKA&drawing=0&sorting=0&kinome=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f844880>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	phosphosite.protein	http://www.phosphosite.org/proteinAction.do?id=12300	HTTP 403	403
2022-09-15	phosphosite.residue	http://www.phosphosite.org/siteAction.do?id=2842	HTTP 403	403
2022-09-15	phytozome.locus	http://www.phytozome.net/genePage.php?crown&method=0&search=1&detail=1&searchText=locusname:Glyma0021s00410	HTTP 503	503
2022-09-15	pid.pathway	http://pid.nci.nih.gov/search/pathway_landing.shtml?what=graphic&jpg=on&pathway_id=eff796f3-6195-11e5-8ac5-06603eb7f303	ConnectionError	HTTPConnectionPool(host='pid.nci.nih.gov', port=80): Max retries exceeded with url: /search/pathway_landing.shtml?what=graphic&jpg=on&pathway_id=eff796f3-6195-11e5-8ac5-06603eb7f303 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11fa32d30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	pina	http://cbg.garvan.unsw.edu.au/pina/interactome.oneP.do?showExtend=null&ac=Q13485	ConnectTimeout	HTTPConnectionPool(host='cbg.garvan.unsw.edu.au', port=80): Max retries exceeded with url: /pina/interactome.oneP.do?showExtend=null&ac=Q13485 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f837d00>, 'Connection to cbg.garvan.unsw.edu.au timed out. (connect timeout=15)'))
2022-09-15	pirsf	https://pir.georgetown.edu/cgi-bin/ipcSF?id=PIRSF000100	SSLError	"HTTPSConnectionPool(host='pir.georgetown.edu', port=443): Max retries exceeded with url: /cgi-bin/ipcSF?id=PIRSF000100 (Caused by SSLError(CertificateError(""hostname 'pir.georgetown.edu' doesn't match either of 'lod.proconsortium.org', 'tncentral.proteininformationresource.org', 'sparql.proconsortium.org', 'ftp.proteininformationresource.org', 'proconsortium.org', 'proteininformationresource.org', 'www.proteininformationresource.org'"")))"
2022-09-15	planttfdb	http://planttfdb.cbi.pku.edu.cn/tf.php?uid=Ath_AT1G01030.1	HTTP 404	404
2022-09-15	pmap.cutdb	http://cutdb.burnham.org/relation/show/25782	ConnectionError	HTTPConnectionPool(host='cutdb.burnham.org', port=80): Max retries exceeded with url: /relation/show/25782 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11fa7a670>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	pmap.substratedb	http://substrate.burnham.org/protein/annotation/1915/html	ConnectionError	HTTPConnectionPool(host='substrate.burnham.org', port=80): Max retries exceeded with url: /protein/annotation/1915/html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11f7c50a0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
2022-09-15	pmdb	https://bioinformatics.cineca.it/PMDB/user//search.php?idsearch=PM0012345	ConnectTimeout	HTTPSConnectionPool(host='bioinformatics.cineca.it', port=443): Max retries exceeded with url: /PMDB/user//search.php?idsearch=PM0012345 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x11f867610>, 'Connection to bioinformatics.cineca.it timed out. (connect timeout=15)'))
2022-09-15	pocketome	http://www.pocketome.org/files/1433C_TOBAC_1_252.html	ConnectTimeout	HTTPConnectionPool(host='www.pocketome.org', port=80): Max retries exceeded with url: /files/1433C_TOBAC_1_252.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11fa84c10>, 'Connection to www.pocketome.org timed out. (connect timeout=15)'))
2022-09-15	proco	https://www.ebi.ac.uk/ols/ontologies/proco/terms?iri=http://purl.obolibrary.org/obo/PROCO_0000001	HTTP 404	404
2022-09-15	prodom	http://prodom.prabi.fr/prodom/current/cgi-bin/request.pl?question=DBEN&query=PD10000	ConnectTimeout	HTTPConnectionPool(host='prodom.prabi.fr', port=80): Max retries exceeded with url: /prodom/current/cgi-bin/request.pl?question=DBEN&query=PD10000 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f837df0>, 'Connection to prodom.prabi.fr timed out. (connect timeout=15)'))
2022-09-15	proglyc	http://www.proglycprot.org/detail.aspx?ProId=AC119	HTTP 404	404
2022-09-15	protonet.cluster	http://www.protonet.cs.huji.ac.il/requested/cluster_card.php?cluster=4349895	ConnectTimeout	HTTPConnectionPool(host='www.protonet.cs.huji.ac.il', port=80): Max retries exceeded with url: /requested/cluster_card.php?cluster=4349895 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11fa63fa0>, 'Connection to www.protonet.cs.huji.ac.il timed out. (connect timeout=15)'))
2022-09-15	protonet.proteincard	http://www.protonet.cs.huji.ac.il/requested/protein_card.php?protein_id=16941567	ConnectTimeout	HTTPConnectionPool(host='www.protonet.cs.huji.ac.il', port=80): Max retries exceeded with url: /requested/protein_card.php?protein_id=16941567 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11fa32250>, 'Connection to www.protonet.cs.huji.ac.il timed out. (connect timeout=15)'))
2022-09-15	px	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000500	ReadTimeout	HTTPConnectionPool(host='proteomecentral.proteomexchange.org', port=80): Read timed out. (read timeout=15)
2022-09-15	rbk	https://www.rebuildingakidney.org/id/Q-2958	ReadTimeout	HTTPSConnectionPool(host='www.rebuildingakidney.org', port=443): Read timed out. (read timeout=15)
2022-09-15	rdo	http://www.semanticweb.org/mca/ontologies/2018/8/untitled-ontology-47#9002859	ConnectTimeout	HTTPConnectionPool(host='semanticweb.org', port=80): Max retries exceeded with url: /mca/ontologies/2018/8/untitled-ontology-47 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f8a48b0>, 'Connection to semanticweb.org timed out. (connect timeout=15)'))
2022-09-15	rebase	http://rebase.neb.com/rebase/enz/101.html	HTTP 403	403
