prefix	name	homepage	category	uri_format
Abeomics	Abeomics cell line products	https://www.abeomics.com/		https://www.abeomics.com/advanced-search-result?keywords=$1
BioGRID_ORCS_Cell_line	BioGRID Open Repository of CRISPR Screens cell lines	https://orcs.thebiogrid.org/		https://orcs.thebiogrid.org/Search?searchType=10&search=$1&organism=all
cancercelllines	cancercelllines.org - cancer cell line oncogenomic online resource	https://cancercelllines.org/		https://cancercelllines.org/cellline/?id=cellosaurus:$1
CancerTools	CancerTools.org	https://www.cancertools.org/cell-lines		https://www.cancertools.org/cell-lines/$1
Cosmic-CLP	COSMIC Cell lines Project	https://cancer.sanger.ac.uk/cell_lines		https://cancer.sanger.ac.uk/cell_lines/sample/overview?id=$1
DSHB	Developmental Studies Hybridoma Bank	https://dshb.biology.uiowa.edu/		https://dshb.biology.uiowa.edu/$1
Evercyte	Evercyte cell line products	https://evercyte.com/		https://evercyte.com/?s=$1
FANTOM5_SSTAR	Functional Annotation of the Mammalian Genome - Samples, Transcription initiation And Regulators	https://fantom.gsc.riken.jp/5/sstar/Main_Page		https://fantom.gsc.riken.jp/5/sstar/FF:$1
FCDI	FujiFilm Cellular Dynamics, Inc	https://www.fujifilmcdi.com/cirm-ipsc-products/		
FlyBase_Gene	Drosophila genome database; gene entry	https://flybase.org		https://flybase.org/reports/$1.htm
FlyBase_Strain	Drosophila genome database; strain entry	https://flybase.org		https://flybase.org/reports/$1.htm
FPbase	Fluorescent Protein database	https://www.fpbase.org/		https://www.fpbase.org/protein/$1
GeneCopoeia	GeneCopoeia cell line products	https://www.genecopoeia.com/		https://www.genecopoeia.com/product/search2/?s=$1
Genomeditech	Genomeditech cell line products	https://en.genomeditech.com/product?id=9		https://en.genomeditech.com/search?kwd=$1
GenScript	GenScript cell line products	https://www.genscript.com/cell_lines.html		https://www.genscript.com/search?q=$1
Hysigen	Hysigen cell line collection	https://hysigen.com/		https://hysigen.com/$1.html
IARC_TP53	IARC TP53 Database	https://tp53.isb-cgc.org/explore_cl		
IBRC	Iranian Biological Research Center cell line collection	http://www.en.ibrc.ir/		
Innoprot	Innoprot cell line products	https://innoprot.com/		https://innoprot.com/?s=$1&lang=en
InvivoGen	InvivoGen cell line products	https://www.invivogen.com/cell-lines		https://www.invivogen.com/search?sq=$1
IZSLER	Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna biobank	http://www.ibvr.org/Services/CellCultures.aspx		
KCB	Kunming Cell Bank of Type Culture Collection	http://www.kmcellbank.com/		
LINCS_HMS	Harvard Medical School (HMS) LINCS Center	http://lincs.hms.harvard.edu/db/cells/		http://lincs.hms.harvard.edu/db/cells/$1
MCCL	Molecular Connection Cell Line ontology	https://bioportal.bioontology.org/ontologies/MCCL		
NCBI_Iran	National Cell Bank of Iran	https://en.pasteur.ac.ir/Department%20of%20Cell%20Bank		
NCI-DTP	NCI Development Therapeutics Program	https://dtp.cancer.gov/repositories/		
NISES	National Institute of Sericultural and Entomological Science Cell Database	https://web.archive.org/web/20160709065305/https://www.gene.affrc.go.jp/ex-nises/NISESCells/CellindexE1.html		
PubChem_Cell_line	PubChem compound database; cell line pages	https://pubchem.ncbi.nlm.nih.gov		https://pubchem.ncbi.nlm.nih.gov/cell/$1
Revvity/PerkinElmer	Revvity/PerkinElmer cell line collection	https://www.revvity.com		https://www.revvity.com/ch-en/search?q=$1
RIKEN_BRC_EPD	RIKEN BRC Experimental Plant Division cell lines	https://epd.brc.riken.jp/en/		https://plant.rtc.riken.jp/resource/cell_line/cell_line_detail.html?brcno=%S
Rockland	Rockland cell line products	https://www.rockland.com/categories/cell-lines-and-lysates/		https://www.rockland.com/search/?searchString=$1
RSCB	Royan Stem Cell Bank	https://web.archive.org/web/20201001144644/http://www.royaninstitute.org/cmsen/index.php?option=com_content&task=view&id=205&Itemid=40		
SKY/M-FISH/CGH	SKY/M-FISH and CGH database	https://www.ncbi.nlm.nih.gov/dbvar/studies/nstd136/		
Ubigene	Ubigene Biosciences cell line products	https://www.ubigene.us/		https://www.ubigene.us/product/?cate=0&mykeyword=$1
