prefix	uri_format
constant	http://qudt.org/vocab/constant/$1
crm	http://www.cidoc-crm.org/cidoc-crm/$1
ctag	http://commontag.org/ns#$1
dash	http://datashapes.org/dash#$1
dash-sparql	http://datashapes.org/sparql#$1
dcmitype	http://purl.org/dc/dcmitype/$1
dig	http://www.ics.forth.gr/isl/CRMdig/$1
discipline	http://qudt.org/vocab/discipline/$1
dprod	https://ekgf.github.io/dprod/$1
dpv	http://www.w3.org/ns/dpv#$1
dtype	http://www.linkedmodel.org/schema/dtype#$1
duv	http://www.w3.org/ns/duv#$1
ebucore	http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#$1
geo	http://www.opengis.net/ont/geosparql#$1
geof	http://www.opengis.net/def/function/geosparql/$1
geor	http://www.opengis.net/def/rule/geosparql/$1
gml	http://www.opengis.net/ont/gml#$1
gn	http://www.geonames.org/ontology#$1
gs1	https://gs1.org/voc/$1
gtfs	http://vocab.gtfs.org/terms#$1
http	http://www.w3.org/2011/http#$1
la	https://linked.art/ns/terms/$1
ldp	http://www.w3.org/ns/ldp#$1
list	http://www.w3.org/2000/10/swap/list#$1
ma	http://www.w3.org/ns/ma-ont#$1
mads	http://www.loc.gov/mads/rdf/v1#$1
math	http://www.w3.org/2000/10/swap/math#$1
oidc	http://www.w3.org/ns/solid/oidc#$1
pim	http://www.w3.org/ns/pim/space#$1
prefix	http://qudt.org/vocab/prefix/$1
qkdv	http://qudt.org/vocab/dimensionvector/$1
quantitykind	http://qudt.org/vocab/quantitykind/$1
rdau	http://rdaregistry.info/Elements/u/$1
rev	http://purl.org/stuff/rev#$1
rico	https://www.ica.org/standards/RiC/ontology#$1
rr	http://www.w3.org/ns/r2rml#$1
rss	http://purl.org/rss/1.0/$1
sdmx	http://purl.org/linked-data/sdmx#$1
sem	http://semanticweb.cs.vu.nl/2009/11/sem/$1
set	http://www.w3.org/2000/10/swap/set#$1
sf	http://www.opengis.net/ont/sf#$1
solid	http://www.w3.org/ns/solid/terms#$1
sou	http://qudt.org/vocab/sou/$1
stat	http://www.w3.org/ns/posix/stat#$1
string	http://www.w3.org/2000/10/swap/string#$1
test	http://www.w3.org/2006/03/test-description#$1
unit	http://qudt.org/vocab/unit/$1
vaem	http://www.linkedmodel.org/schema/vaem#$1
