prefix	name	homepage	description	uri_format
P10243	NatureServe Explorer ID	https://explorer.natureserve.org/	identifier of a species or ecosystem in the Americas in the NatureServe Explorer database	https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.$1/
P10245	MedlinePlus drug identifier	https://medlineplus.gov/druginfo/drug_Aa.html	identifier for a drug in the MedlinePlus database	https://medlineplus.gov/druginfo/meds/$1.html
P10246	MedlinePlus supplement identifier	https://medlineplus.gov/druginfo/herb_All.html	identifier for a herb or supplement in the MedlinePlus database	https://medlineplus.gov/druginfo/natural/$1.html
P10299	Leopoldina member ID (new)	https://www.leopoldina.org/mitglieder/mitglieder-seit-1652/	identifier for a Leopoldina member on the Leopoldina web site	https://www.leopoldina.org/mitglieder/mitgliederverzeichnis/detail/$1/
P10331	Washington Native Plant Society Plant Directory ID	https://www.wnps.org/native-plant-directory	identifier of a species or subspecies in the Washington Native Plant Society Plant Directory	https://www.wnps.org/native-plant-directory/$1
P10333	New York Flora Atlas ID	https://newyork.plantatlas.usf.edu/	identifier of a taxon in the New York Flora Atlas	https://newyork.plantatlas.usf.edu/Plant.aspx?id=$1
P10366	Gardens Navigator ID	http://navigate.botanicgardens.org/FindPlant.html	identifier for a plant taxon on Gardens Navigator	http://navigate.botanicgardens.org/weboi/oecgi2.exe/INET_ECM_DispPl?NAMENUM=$1
P10412	PKULaw CLI Code	http://pkulaw.com	identifier for a legal material in the PKULaw Chinalawinfo database [with prefix 'CLI']	https://www.pkulaw.com/$1
P10420	Index to Organism Names ID	http://www.organismnames.com/query.htm	identifier of a taxon in the Index to Organism Names database	http://www.organismnames.com/details.htm?lsid=$1
P10528	Madrean Discovery Expeditions Flora Database ID	https://www.madreandiscovery.org/flora/index.php	identifier of a plant species in the Madrean Discovery Expeditions Flora Database	https://madreandiscovery.org/flora/taxa/index.php?tid=$1
P10529	Madrean Discovery Expeditions Fauna Database ID	https://www.madreandiscovery.org/fauna/index.php	identifier of an animal species in the Madrean Discovery Expeditions Fauna Database	https://www.madreandiscovery.org/fauna/taxa/index.php?tid=$1
P10534	Australian Reptile Online Database ID	https://www.arod.com.au/arod/index.php?q=all	identifier for a taxon in the Australian Reptile Online Database	https://www.arod.com.au/arod/reptilia/$1
P1055	NLM Unique ID		identifier in the catalog of the National Library of Medicine	https://catalog.nlm.nih.gov/discovery/search?vid=01NLM_INST:01NLM_INST&query=lds04,exact,$1
P10561	Virginia Tech Dendrology Factsheets ID	https://dendro.cnre.vt.edu/dendrology/factsheets.cfm	identifier for a North American tree taxon in the Virginia Tech Dendrology Factsheets database	https://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=$1
P10585	Catalogue of Life ID	https://www.catalogueoflife.org/	identifier of a taxon or synonym in the Catalogue of Life	https://www.catalogueoflife.org/data/taxon/$1
P1070	Plant List ID (Royal Botanic Gardens, Kew)	http://www.theplantlist.org	identifier in The Plant List database from the Royal Botanic Gardens, Kew	http://www.theplantlist.org/tpl1.1/record/$1
P10701	Reflora ID	https://reflora.jbrj.gov.br/reflora/listaBrasil/PrincipalUC/PrincipalUC.do?lingua=es	identifier for a taxon on the Reflora Flora e Funga do Brasil website	https://floradobrasil2020.jbrj.gov.br/$1
P10709	North Carolina Extension Gardener Plant Toolbox ID	https://plants.ces.ncsu.edu/	identifier for a taxon in the North Carolina Extension Gardener Plant Toolbox	https://plants.ces.ncsu.edu/plants/$1/
P10711	Invasive.org species ID	https://www.invasive.org/species.cfm	identifier for a species on Invasive.org	https://www.invasive.org/browse/subinfo.cfm?sub=$1
P10718	CXSMILES		line notation based on the SMILES but extended to allow describing compound classes	https://www.simolecule.com/cdkdepict/depict/bow/svg?smi=$1&zoom=2.0&annotate=cip
