word	idf	rf_importance	lr_importance
hybrid	6.9591	0.001	-0.3484
nerve	7.3646	0.001	-0.2516
danish	7.3646	0.001	-0.3395
carbon	6.5173	0.001	-0.1738
variants	6.2119	0.001	-0.173
competitive	7.5469	0.001	-0.2453
pattern	6.8538	0.001	-0.3846
tools	6.4822	0.001	0.0492
mouse	6.5537	0.001	0.7813
effect	5.2245	0.001	-0.3287
anti	6.805	0.001	-0.381
ncbi	7.2105	0.001	0.9025
spontaneous	6.5173	0.001	-0.3318
management	4.2327	0.001	-0.1036
administration	6.1606	0.001	-0.2765
literature	5.8422	0.001	-0.1551
speech	7.1415	0.0009	-0.312
sequence	5.7064	0.0009	0.7619
community	5.2956	0.0009	0.3206
quantum	7.9036	0.0009	-0.2746
surgical	5.1221	0.0009	-0.2587
sources	7.3646	0.0009	-0.2219
phenotyping	7.7701	0.0009	-0.0179
rdf	9.1564	0.0009	-0.3402
drug	4.7496	0.0009	0.3676
cell	4.6131	0.0009	0.0639
events	5.3062	0.0009	-0.0883
lung	5.3387	0.0009	-0.3914
integration	6.1606	0.0009	0.6505
terarista	9.1564	0.0009	-0.1991
observational	5.7891	0.0009	-0.2683
curated	5.8065	0.0009	0.6282
hip	6.1118	0.0009	-0.4049
screening	5.5454	0.0009	-0.0506
implementation	5.9994	0.0009	-0.0801
entanglement	8.4632	0.0009	-0.294
cardiomyopathy	7.3646	0.0009	-0.2267
antibodies	7.5469	0.0009	-0.0644
quality	5.0132	0.0009	-0.2529
end	5.6599	0.0009	-0.2686
reappraisal	8.4632	0.0009	-0.3044
developing	6.1359	0.0009	-0.1497
readmissions	6.3838	0.0009	-0.4629
candida	8.2401	0.0009	-0.3153
illness	6.805	0.0009	-0.38
emotional	7.0769	0.0009	-0.1406
mental	6.0429	0.0009	-0.2723
distribution	6.2942	0.0009	-0.2828
spanish	6.9591	0.0009	-0.3178
palsy	7.5469	0.0009	-0.2598
infections	6.714	0.0009	-0.1262
vessel	8.2401	0.0009	-0.3363
path	7.5469	0.0009	-0.3173
classification	5.5868	0.0008	0.6765
term	5.2148	0.0008	-0.2878
source	6.6306	0.0008	-0.1201
allergy	8.0578	0.0008	-0.1531
corpora	9.1564	0.0008	-0.1897
guideline	7.6523	0.0008	-0.2674
anatomical	7.3646	0.0008	0.2973
supported	7.3646	0.0008	-0.1165
vasculitis	8.7509	0.0008	-0.2247
underutilized	8.0578	0.0008	-0.198
student	7.5469	0.0008	-0.2828
registry	5.8983	0.0008	-0.0838
integrated	5.63	0.0008	0.4903
score	5.4928	0.0008	-0.2782
laparoscopic	6.714	0.0008	-0.296
prioritize	9.1564	0.0008	-0.3345
induced	5.9577	0.0008	-0.2298
prospective	5.9177	0.0008	-0.2511
genomics	6.0209	0.0008	0.7642
modelling	7.4516	0.0008	-0.2517
post	5.7386	0.0008	-0.2773
constrained	5.5454	0.0008	-0.1551
female	7.1415	0.0008	-0.1418
approach	5.2956	0.0008	-0.1634
realism	9.1564	0.0008	-0.3329
infants	6.5537	0.0008	-0.2637
iv	6.186	0.0008	-0.3138
author	7.5469	0.0008	-0.2277
inspection	8.7509	0.0008	-0.1936
systematic	5.5454	0.0008	0.169
veterans	7.2846	0.0008	-0.1418
tests	7.1415	0.0008	-0.3229
arthroplasty	6.3232	0.0008	-0.3215
stratified	7.2846	0.0008	-0.3821
ecology	7.5469	0.0008	-0.2562
predicting	5.8605	0.0008	-0.2427
statistical	7.3646	0.0008	-0.101
relevance	8.2401	0.0008	-0.279
recommender	9.1564	0.0008	-0.3093
difficult	8.2401	0.0008	-0.1983
deep	5.7552	0.0008	-0.2218
psilidae	9.1564	0.0008	-0.1991
readmission	5.9783	0.0008	-0.4163
congenital	6.5537	0.0007	-0.2404
diagnosis	5.3497	0.0007	-0.2789
isoform	8.7509	0.0007	-0.3139
cervical	6.0429	0.0007	-0.2843
limb	7.6523	0.0007	-0.1735
recurrence	7.3646	0.0007	-0.2146
medicine	6.2119	0.0007	-0.0187
renal	6.266	0.0007	-0.258
therapies	7.1415	0.0007	-0.2275
professional	7.7701	0.0007	-0.2119
latin	7.7701	0.0007	-0.3308
enzymes	7.2846	0.0007	0.6505
experience	5.6751	0.0007	-0.3625
diabetes	5.4551	0.0007	-0.354
real	4.7933	0.0007	-0.3004
receptor	6.7585	0.0007	-0.2207
mimic	5.6751	0.0007	-0.3566
printing	8.7509	0.0007	-0.2202
fujiana	9.1564	0.0007	-0.1991
pain	6.5173	0.0007	-0.2965
good	7.4516	0.0007	-0.1748
identification	5.4428	0.0007	-0.2935
i2b2	9.1564	0.0007	-0.3402
molecular	5.63	0.0007	0.4662
evolution	6.9051	0.0007	-0.1249
compared	6.7585	0.0007	-0.3832
databases	6.9591	0.0007	0.6804
muscle	7.2846	0.0007	-0.2653
incident	7.4516	0.0007	-0.3486
influence	6.6306	0.0007	-0.3092
need	7.0163	0.0007	-0.2235
calculation	8.7509	0.0007	-0.2241
control	5.6599	0.0007	-0.3141
errors	8.0578	0.0007	-0.2539
genomic	5.7891	0.0007	0.4689
input	7.6523	0.0007	-0.2972
suicide	7.7701	0.0007	-0.294
increased	6.1606	0.0007	-0.1982
flowering	8.4632	0.0007	-0.2057
platform	6.2942	0.0007	0.0081
emergency	5.4428	0.0007	-0.2851
habitat	7.9036	0.0007	-0.2449
communication	6.8538	0.0007	-0.2991
birth	6.7585	0.0007	-0.3477
cellular	7.2846	0.0007	0.0711
neural	6.4155	0.0007	-0.1616
complexity	7.7701	0.0007	-0.2119
functions	7.5469	0.0007	-0.3513
common	6.353	0.0007	-0.2102
sars	5.8983	0.0007	-0.1035
curricula	9.1564	0.0007	-0.2266
surveillance	5.2956	0.0007	-0.0581
bias	7.5469	0.0007	-0.1938
integrative	6.6306	0.0007	0.7608
names	7.9036	0.0007	-0.0389
potential	5.4928	0.0007	-0.2119
slit	9.1564	0.0007	-0.2123
value	5.9375	0.0006	-0.2864
diseases	5.7891	0.0006	-0.2178
informatics	7.2105	0.0006	0.6691
report	5.5057	0.0006	0.0142
lidar	9.1564	0.0006	-0.2576
driven	6.4822	0.0006	-0.1395
biomedical	6.714	0.0006	0.7692
upper	7.5469	0.0006	-0.2474
pluralism	9.1564	0.0006	-0.2965
operative	6.9591	0.0006	-0.2548
perspectives	6.5914	0.0006	0.0391
surgeons	6.2386	0.0006	-0.2668
specialized	8.2401	0.0006	-0.3005
improve	6.0209	0.0006	-0.066
prokaryotic	7.3646	0.0006	0.0018
related	4.8659	0.0006	-0.126
aggregates	9.1564	0.0006	-0.3329
specimen	8.0578	0.0006	-0.2952
terminology	7.6523	0.0006	0.1674
project	6.0429	0.0006	0.777
pharmacists	7.9036	0.0006	-0.2799
discharge	6.186	0.0006	-0.2403
gut	7.9036	0.0006	-0.1465
neck	7.0769	0.0006	-0.1684
tool	5.6751	0.0006	0.5983
assisted	6.266	0.0006	-0.272
field	6.8538	0.0006	-0.2942
skin	7.5469	0.0006	-0.175
diagnostic	5.8983	0.0006	-0.1817
international	5.5591	0.0006	0.0089
kidneys	8.7509	0.0006	-0.1697
toxicity	7.1415	0.0006	-0.292
intraoperative	7.6523	0.0006	-0.1402
biology	6.3838	0.0006	0.6684
concomitant	7.5469	0.0006	-0.178
integrating	6.805	0.0006	0.4504
terms	7.2105	0.0006	0.0572
diabetic	7.3646	0.0006	-0.2109
classroom	7.9036	0.0006	-0.2379
recognizing	8.4632	0.0006	-0.3831
sequences	6.805	0.0006	0.683
inflammatory	7.0163	0.0006	-0.1991
expressive	7.3646	0.0006	-0.2802
ovarian	6.714	0.0006	-0.1897
sex	6.2386	0.0006	-0.1598
representation	6.6306	0.0006	0.5818
mildew	8.7509	0.0006	-0.1696
bioink	9.1564	0.0006	-0.2304
standardized	6.4822	0.0006	0.6143
warming	8.4632	0.0006	-0.1822
phylum	8.2401	0.0006	-0.2191
bulk	8.7509	0.0006	-0.2127
tackling	8.7509	0.0006	-0.1884
plant	5.7386	0.0006	0.2398
open	5.3952	0.0006	0.2705
blood	6.266	0.0006	-0.2261
conditions	6.714	0.0006	-0.1296
cov	5.8792	0.0006	-0.1032
nutritional	6.9591	0.0006	0.0879
colon	6.5173	0.0006	-0.1681
look	7.9036	0.0006	-0.1811
nature	8.2401	0.0006	-0.2286
rcc	9.1564	0.0006	-0.1753
microarray	7.7701	0.0006	-0.1559
electronic	5.8422	0.0005	-0.1152
microextrusion	9.1564	0.0005	-0.2304
living	6.6715	0.0005	-0.2531
university	6.9591	0.0005	-0.2401
differentially	7.9036	0.0005	-0.2762
fertility	8.0578	0.0005	-0.189
improving	6.266	0.0005	-0.1373
alternative	6.8538	0.0005	-0.1482
parosmia	9.1564	0.0005	-0.2573
omics	6.7585	0.0005	0.565
12	7.1415	0.0005	-0.2857
memory	7.4516	0.0005	-0.2484
initiatives	8.2401	0.0005	-0.1598
online	5.5868	0.0005	0.2842
neurocritical	8.4632	0.0005	-0.2367
leptin	9.1564	0.0005	-0.1913
scoping	6.9051	0.0005	-0.196
loss	6.7585	0.0005	-0.1474
mobile	6.6715	0.0005	-0.1623
mediated	7.4516	0.0005	-0.1811
similarity	7.4516	0.0005	-0.1909
china	5.3387	0.0005	-0.2616
establishing	7.1415	0.0005	-0.1462
reinforcement	7.2846	0.0005	-0.131
long	5.2852	0.0005	-0.089
ancient	8.7509	0.0005	-0.1694
phenotypes	7.0769	0.0005	0.5159
conventional	7.3646	0.0005	-0.2509
accuracy	7.1415	0.0005	-0.1901
graph	6.8538	0.0005	-0.0158
recur	9.1564	0.0005	-0.1753
alphafold	7.7701	0.0005	-0.2552
recovery	5.2544	0.0005	-0.1681
gmtkn55	9.1564	0.0005	-0.1491
omeprazole	9.1564	0.0005	-0.1703
nephrology	9.1564	0.0005	-0.1776
user	6.5914	0.0005	-0.1254
government	7.6523	0.0005	-0.1693
experiential	9.1564	0.0005	-0.2009
definition	7.4516	0.0005	-0.1344
surgeries	8.0578	0.0005	-0.1629
daily	8.4632	0.0005	-0.0999
productive	8.4632	0.0005	-0.1165
estimation	6.805	0.0005	-0.1228
forces	8.7509	0.0005	-0.1775
prenatal	8.0578	0.0005	-0.2158
epitope	9.1564	0.0005	-0.3726
20	7.3646	0.0005	0.4052
harmonize	8.4632	0.0005	-0.2251
opposite	9.1564	0.0005	-0.2608
neuroscience	7.3646	0.0005	-0.0343
uniformity	9.1564	0.0005	-0.1713
speak	9.1564	0.0005	-0.1776
zero	7.7701	0.0005	-0.2119
ar	9.1564	0.0005	-0.105
suppresses	9.1564	0.0005	-0.1703
kidney	5.6906	0.0005	-0.2092
kegg	7.9036	0.0005	0.1087
causes	7.7701	0.0005	-0.2416
biotemporal	9.1564	0.0005	-0.2148
self	6.0209	0.0005	-0.0902
overall	6.5914	0.0005	-0.1943
diet	7.5469	0.0005	-0.1545
moral	8.7509	0.0005	-0.2053
like	7.1415	0.0005	-0.187
twitter	8.7509	0.0005	-0.1916
mabs	9.1564	0.0005	-0.2246
embedding	7.9036	0.0005	-0.204
nurses	7.0163	0.0005	-0.1913
inconsistency	8.7509	0.0005	-0.1624
revisions	8.7509	0.0005	-0.1696
audiovisual	8.2401	0.0005	-0.1143
rates	6.266	0.0005	-0.2854
relationship	6.2386	0.0005	-0.1867
rural	6.4483	0.0005	-0.1733
gated	8.2401	0.0005	-0.0183
keyword	8.7509	0.0005	-0.1003
simulation	6.714	0.0005	-0.1541
challenge	7.6523	0.0005	-0.1438
second	6.714	0.0005	-0.279
strategies	6.353	0.0005	-0.1804
penalties	9.1564	0.0005	-0.1604
automated	6.805	0.0005	0.1985
thyroid	6.9591	0.0005	-0.2989
geo	6.9051	0.0005	-0.2413
remdesivir	7.7701	0.0005	-0.1419
acute	4.8797	0.0005	-0.1962
sana	8.7509	0.0005	-0.262
changes	6.4483	0.0005	-0.0593
rodent	8.7509	0.0005	-0.1628
architecture	7.2105	0.0005	-0.1915
nucleus	8.7509	0.0005	-0.1562
trophic	8.2401	0.0004	-0.1306
harmandiana	9.1564	0.0004	-0.1411
multicenter	6.0883	0.0004	-0.1801
nacional	9.1564	0.0004	-0.1807
countermeasures	9.1564	0.0004	-0.1502
building	6.4483	0.0004	0.3132
edge	6.9591	0.0004	-0.3001
elderly	6.4155	0.0004	-0.2023
years	5.6599	0.0004	-0.0056
brassica	8.0578	0.0004	-0.041
catalan	8.7509	0.0004	-0.1321
interactions	6.266	0.0004	0.5397
rna	6.1606	0.0004	0.2228
approaches	6.5173	0.0004	-0.1777
scale	5.7386	0.0004	0.2748
taxonomy	7.2846	0.0004	0.0644
vaccine	6.4155	0.0004	0.416
structuring	8.2401	0.0004	0.2756
fda	6.4822	0.0004	-0.2632
compounds	7.5469	0.0004	-0.159
gbd	9.1564	0.0004	-0.166
multi	5.3169	0.0004	0.1618
death	6.3838	0.0004	-0.2687
heterogeneous	7.6523	0.0004	-0.4037
pathways	6.2942	0.0004	0.6912
retail	8.7509	0.0004	-0.1936
fungal	7.2105	0.0004	-0.1304
peroxymonosulfate	9.1564	0.0004	-0.1245
markers	6.9591	0.0004	-0.2426
level	5.8983	0.0004	-0.1597
hepatocellular	6.4822	0.0004	-0.1371
advances	7.7701	0.0004	-0.1923
antiepileptic	8.7509	0.0004	-0.1767
peroxibase	8.7509	0.0004	0.3258
proteomic	8.0578	0.0004	-0.1889
fractures	6.4155	0.0004	-0.1535
prognosis	5.9783	0.0004	-0.2427
allergic	8.2401	0.0004	-0.1231
downy	8.7509	0.0004	-0.1696
past	8.0578	0.0004	-0.2985
section	8.4632	0.0004	-0.1304
incidence	5.5454	0.0004	-0.2153
patient	5.2051	0.0004	-0.1179
check	8.0578	0.0004	-0.2247
checkpoint	7.3646	0.0004	-0.2415
proteomics	7.1415	0.0004	0.6152
unwanted	9.1564	0.0004	-0.1604
phenomenological	8.2401	0.0004	-0.2347
practices	6.4155	0.0004	-0.1318
systemic	6.186	0.0004	-0.1826
analyses	6.1359	0.0004	0.0453
comparative	5.601	0.0004	0.0758
administered	8.4632	0.0004	-0.1184
trusted	8.7509	0.0004	-0.1574
relationships	7.5469	0.0004	0.0534
sites	7.2846	0.0004	0.0176
critically	6.5914	0.0004	-0.2375
functional	5.9375	0.0004	-0.0167
junctional	8.7509	0.0004	-0.1908
semantic	6.4822	0.0004	0.3279
myocarditis	7.7701	0.0004	-0.2298
foundations	9.1564	0.0004	-0.3329
generation	6.5914	0.0004	-0.0401
evidence	5.2852	0.0004	0.2393
expressed	7.9036	0.0004	-0.393
leprosy	8.7509	0.0004	-0.2029
recurrent	7.6523	0.0004	-0.2033
annotate	9.1564	0.0004	-0.3345
barrier	8.2401	0.0004	-0.2178
families	6.9051	0.0004	0.6883
landscape	7.0769	0.0004	-0.1312
unit	6.0429	0.0004	-0.222
systematization	8.7509	0.0004	-0.2386
reconstruction	6.5173	0.0004	-0.1003
reduced	7.0769	0.0004	-0.155
fast	7.0769	0.0004	-0.0013
hidradenoma	9.1564	0.0004	-0.1297
asia	7.7701	0.0004	-0.1571
putatively	9.1564	0.0004	-0.1913
gnomad	8.2401	0.0004	-0.1722
training	6.3838	0.0004	-0.0975
protective	8.7509	0.0004	-0.1724
improvement	5.7891	0.0004	-0.0159
pathogenic	7.5469	0.0004	-0.1577
prescribing	7.0769	0.0004	-0.1454
devices	7.1415	0.0004	-0.2662
squamous	6.4483	0.0004	-0.2064
topological	9.1564	0.0004	-0.2741
nomogram	6.2119	0.0004	-0.2807
history	7.2105	0.0004	0.0493
atrial	6.2119	0.0004	-0.2449
design	6.0883	0.0004	-0.1957
recognition	6.714	0.0004	-0.1314
dasyatidae	9.1564	0.0004	-0.1451
useable	9.1564	0.0004	-0.1971
wasting	9.1564	0.0004	-0.2123
cassia	9.1564	0.0004	-0.1962
consistency	8.7509	0.0004	-0.1624
hepatitis	6.7585	0.0004	-0.254
cases	6.2119	0.0004	-0.2342
perspective	6.1606	0.0004	0.0053
residential	8.7509	0.0004	-0.2204
young	5.9994	0.0004	-0.1467
drugs	5.6906	0.0004	0.3445
increasing	7.6523	0.0004	-0.1433
onset	6.8538	0.0004	-0.1926
pancreatitis	7.7701	0.0004	-0.1333
asian	7.2105	0.0004	-0.2608
signals	7.9036	0.0004	-0.1859
organ	6.5537	0.0004	-0.1516
treated	6.0653	0.0004	-0.1142
people	5.8422	0.0004	-0.1452
digital	6.0429	0.0004	0.2998
measures	7.1415	0.0004	-0.0015
poultry	8.7509	0.0004	-0.1776
way	7.4516	0.0004	0.2417
species	5.772	0.0004	0.3362
sts	7.6523	0.0004	-0.1655
acids	7.7701	0.0004	-0.2234
kinematics	9.1564	0.0004	-0.2076
melanoma	6.8538	0.0004	-0.2724
preoperative	6.9591	0.0004	-0.1978
delirium	7.6523	0.0004	-0.1956
intellectual	8.7509	0.0004	-0.1586
agenesis	9.1564	0.0004	-0.2452
frontier	9.1564	0.0004	-0.256
virus	6.353	0.0004	-0.2388
growth	6.2119	0.0004	-0.1908
dupilumab	8.4632	0.0004	-0.1264
science	6.2942	0.0004	0.2648
a1c	8.4632	0.0004	-0.213
identify	7.0769	0.0004	-0.0475
domain	6.7585	0.0004	0.3039
pricing	8.7509	0.0004	-0.2333
sentiment	8.2401	0.0004	-0.1804
fracture	6.2942	0.0004	-0.2029
does	6.353	0.0004	-0.23
independence	9.1564	0.0004	-0.1261
effects	5.5868	0.0004	-0.0461
expression	5.601	0.0004	0.1099
exposed	8.4632	0.0004	-0.2743
short	6.353	0.0004	-0.2961
modeling	6.3232	0.0004	0.4645
bleeding	7.2105	0.0004	-0.1682
tcga	6.4155	0.0004	-0.2555
biopsychosocial	9.1564	0.0004	-0.1732
computerized	9.1564	0.0004	-0.1323
status	5.9375	0.0004	-0.1991
hydrochloride	9.1564	0.0004	-0.1245
arthritis	6.714	0.0004	-0.1448
bibliometric	7.0163	0.0004	-0.1301
contributors	8.7509	0.0003	-0.1622
meniscal	8.2401	0.0003	-0.1443
ill	6.5914	0.0003	-0.2375
seizure	7.9036	0.0003	-0.0509
facilitation	8.7509	0.0003	-0.1216
relatively	9.1564	0.0003	-0.1652
neurological	7.7701	0.0003	-0.0802
conversion	7.5469	0.0003	-0.188
consensus	6.6715	0.0003	0.0683
individualization	9.1564	0.0003	-0.1713
numerical	9.1564	0.0003	-0.1852
focused	7.6523	0.0003	0.0507
thoracic	6.353	0.0003	-0.1857
antioxidant	8.0578	0.0003	-0.1588
2019	5.5728	0.0003	0.2865
estimates	7.9036	0.0003	-0.1651
chronic	5.4307	0.0003	-0.2971
inference	7.6523	0.0003	-0.1794
homes	8.7509	0.0003	-0.1405
poaceae	9.1564	0.0003	-0.1775
signaling	7.5469	0.0003	0.2987
percentage	9.1564	0.0003	-0.1345
mediate	8.4632	0.0003	-0.1104
antidepressant	8.2401	0.0003	-0.1663
glucocorticoids	8.7509	0.0003	-0.1797
mellitus	6.805	0.0003	-0.1458
demonstrated	8.7509	0.0003	-0.1242
integrate	8.2401	0.0003	0.3443
overtreating	8.7509	0.0003	-0.1811
impacts	7.2105	0.0003	-0.0832
framework	6.1606	0.0003	0.1754
global	5.3952	0.0003	-0.1609
depression	6.4822	0.0003	-0.1689
triple	7.4516	0.0003	-0.2243
alternanthera	9.1564	0.0003	-0.1581
sub	6.5173	0.0003	-0.1132
microbiome	7.7701	0.0003	-0.2675
reef	8.4632	0.0003	-0.3277
genital	8.4632	0.0003	-0.168
coronavirus	6.4822	0.0003	-0.0613
alignment	7.4516	0.0003	-0.2231
response	6.0883	0.0003	-0.2229
oxygen	7.1415	0.0003	-0.1176
standardization	7.5469	0.0003	-0.0593
taiwan	6.8538	0.0003	-0.2179
knowledgebase	7.3646	0.0003	0.6665
segregant	9.1564	0.0003	-0.2225
org	7.3646	0.0003	0.7432
quantitative	6.714	0.0003	-0.0298
portal	7.0769	0.0003	0.5636
trait	6.9591	0.0003	0.1533
issues	7.5469	0.0003	-0.1225
derived	6.4155	0.0003	-0.0988
introduced	8.4632	0.0003	-0.0463
comorbidity	7.7701	0.0003	-0.1534
facility	6.805	0.0003	-0.1993
phanerozoic	8.7509	0.0003	-0.1694
smoking	8.4632	0.0003	-0.1234
valorization	8.2401	0.0003	-0.1223
academic	7.0163	0.0003	-0.0583
testing	6.1118	0.0003	-0.1384
effort	8.7509	0.0003	-0.1128
activities	7.0769	0.0003	0.0981
ensembl	7.6523	0.0003	0.6635
sarcoma	6.805	0.0003	-0.1994
exposure	7.0163	0.0003	-0.1854
oriented	7.0769	0.0003	-0.1213
mitral	7.7701	0.0003	-0.1082
scenario	7.9036	0.0003	-0.1734
