prefix	name	homepage	uri_prefix
sdmx-code		https://code.google.com/p/publishing-statistical-data/	http://purl.org/linked-data/sdmx/2009/code#$1
sdmx-dimension		http://purl.org/linked-data/sdmx/2009/dimension	http://purl.org/linked-data/sdmx/2009/dimension#$1
sdo		http://salt.semanticauthoring.org/ontologies/sdo	http://salt.semanticauthoring.org/ontologies/sdo#$1
sdont		https://w3id.org/okn/o/sd	https://w3id.org/okn/o/sd#$1
sealit		http://www.sealitproject.eu/ontology/	http://www.sealitproject.eu/ontology/$1
search		http://vocab.deri.ie/search.html	http://sindice.com/vocab/search#$1
seas		https://w3id.org/seas/	https://w3id.org/seas/$1
seas-eval		https://w3id.org/seas/EvaluationOntology	https://w3id.org/seas/$1
seas-op		https://w3id.org/seas/OperatingOntology	https://w3id.org/seas/$1
seas-qudt		https://w3id.org/seas/QUDTAlignment	https://w3id.org/seas/$1
seas-stats		https://w3id.org/seas/StatisticsOntology	https://w3id.org/seas/$1
seas-sys		https://w3id.org/seas/SystemOntology	https://w3id.org/seas/$1
seasb		https://ci.mines-stetienne.fr/seas/index.html	https://w3id.org/seas/$1
seasbo		https://w3id.org/seas/BuildingOntology	https://w3id.org/seas/$1
seasd		https://ci.mines-stetienne.fr/seas/index.html	https://w3id.org/seas/$1
seasfo		https://w3id.org/seas/ForecastingOntology	https://w3id.org/seas/$1
seast		https://ci.mines-stetienne.fr/seas/index.html	https://w3id.org/seas/$1
seasto		https://w3id.org/seas/TradingOntology	https://w3id.org/seas/$1
security		http://securitytoolbox.appspot.com/securityMain	http://securitytoolbox.appspot.com/securityMain#$1
sem		http://semanticweb.cs.vu.nl/2009/11/sem/	http://semanticweb.cs.vu.nl/2009/11/sem/$1
semio		http://www.lingvoj.org/semio.rdf	http://www.lingvoj.org/semio#$1
semiotics		http://www.ontologydesignpatterns.org/cp/owl/semiotics.owl	http://www.ontologydesignpatterns.org/cp/owl/semiotics.owl#$1
semsur		http://sda.tech/SemSur/Documentation/Semsur.html	http://purl.org/SemSur/$1
seq		http://www.ontologydesignpatterns.org/cp/owl/sequence.owl	http://www.ontologydesignpatterns.org/cp/owl/sequence.owl#$1
service		https://github.com/dini-ag-kim/service-ontology/	http://purl.org/ontology/service#$1
sf		http://www.opengis.net/ont/sf	http://www.opengis.net/ont/sf#$1
shoah		http://dati.cdec.it/lod/shoah/	http://dati.cdec.it/lod/shoah/$1
shw		https://paul.staroch.name/thesis/thesis.pdf	http://paul.staroch.name/thesis/SmartHomeWeather.owl#$1
sim		http://purl.org/ontology/similarity/	http://purl.org/ontology/similarity/$1
simu		https://www.w3id.org/simulation/ontology/	https://www.w3id.org/simulation/ontology/$1
sioc		http://rdfs.org/sioc/spec/	http://rdfs.org/sioc/ns#$1
situ		http://www.ontologydesignpatterns.org/cp/owl/situation.owl	http://www.ontologydesignpatterns.org/cp/owl/situation.owl#$1
smg		http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#$1
snarm		http://rdf.myexperiment.org/ontologies/snarm/	http://rdf.myexperiment.org/ontologies/snarm/$1
solid		http://www.w3.org/ns/solid/terms	http://www.w3.org/ns/solid/terms#$1
sor		http://purl.org/net/soron	http://purl.org/net/soron/$1
sosa		http://www.w3.org/ns/sosa/	http://www.w3.org/ns/sosa/$1
sou		http://qudt.org/2.1/vocab/sou	http://qudt.org/2.1/vocab/sou/$1
sp		http://spinrdf.org/sp	http://spinrdf.org/sp#$1
spatial		http://geovocab.org/doc/neogeo/	http://geovocab.org/spatial#$1
spcm		http://spi-fm.uca.es/spdef/models/deployment/spcm/1.0.html	http://spi-fm.uca.es/spdef/models/deployment/spcm/1.0#$1
spfood		http://projects.kmi.open.ac.uk/smartproducts/ontology.html	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#$1
spin		http://spinrdf.org/spin.html	http://spinrdf.org/spin#$1
sport		http://www.bbc.co.uk/ontologies/sport	http://www.bbc.co.uk/ontologies/sport/$1
spt		http://spitfire-project.eu/incontextsensing/ontology.php	http://spitfire-project.eu/ontology/ns/$1
spvqa		https://bmake.th-brandenburg.de/spv	https://bmake.th-brandenburg.de/spv#$1
sql		http://ns.inria.fr/ast/sql#	http://ns.inria.fr/ast/sql#$1
sri		https://w3id.org/sri	https://w3id.org/sri#$1
ssn		http://www.w3.org/ns/ssn/	http://www.w3.org/ns/ssn/$1
ssno		http://www.w3.org/ns/ssn/	http://www.w3.org/ns/ssn/$1
ssso		https://github.com/gbv/ssso/	http://purl.org/ontology/ssso#$1
st		http://semweb.mmlab.be/ns/stoptimes#Ontology	http://semweb.mmlab.be/ns/stoptimes#$1
stac		http://securitytoolbox.appspot.com/	http://securitytoolbox.appspot.com/stac#$1
step		http://purl.org/net/step	http://purl.org/net/step#$1
sto		http://i40.semantic-interoperability.org/sto/index.html	https://w3id.org/i40/sto#$1
stories		http://www.contextus.net/stories	http://purl.org/ontology/stories/$1
summa		http://purl.org/voc/summa/	http://purl.org/voc/summa/$1
sur		https://www.w3id.org/survey-ontology	https://w3id.org/survey-ontology#$1
sw-quality		https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/$1
swc		http://data.semanticweb.org/ns/swc/swc_2009-05-09.html	http://data.semanticweb.org/ns/swc/ontology#$1
swemls		https://semantic-systems.org/ns/swemls/index-en.html	https://w3id.org/semsys/ns/swemls#$1
swp		http://www.w3.org/2004/03/trix/swp-1	http://www.w3.org/2004/03/trix/swp-1/$1
swpm		http://spi-fm.uca.es/spdef/models/deployment/swpm/1.0	http://spi-fm.uca.es/spdef/models/deployment/swpm/1.0#$1
swpo		http://sw-portal.deri.org/ontologies/swportal	http://sw-portal.deri.org/ontologies/swportal#$1
swrc		http://ontoware.org/swrc	http://swrc.ontoware.org/ontology#$1
synsem		http://www.w3.org/ns/lemon/synsem	http://www.w3.org/ns/lemon/synsem#$1
tac		http://ns.bergnet.org/tac/0.1/triple-access-control	http://ns.bergnet.org/tac/0.1/triple-access-control#$1
tag		http://www.holygoat.co.uk/owl/redwood/0.1/tags/	http://www.holygoat.co.uk/owl/redwood/0.1/tags/$1
tao		http://vocab.deri.ie/tao.html	http://vocab.deri.ie/tao#$1
tax		https://w3id.org/EUTaxO	https://w3id.org/EUTaxO#$1
taxon		http://purl.org/biodiversity/taxon/	http://purl.org/biodiversity/taxon/$1
taxref-ld		http://taxref.mnhn.fr/lod/taxref-ld	http://taxref.mnhn.fr/lod/$1
tb		https://tobiasgrubenmann.github.io/Ontologies/Timebank/0.2/index.html	https://w3id.org/timebank#$1
td		https://www.w3.org/2019/wot/td	https://www.w3.org/2019/wot/td#$1
tddfa		https://w3id.org/todo/tododfa	https://w3id.org/todo/tododfa#$1
tddial		https://w3id.org/todo/tododial	https://w3id.org/todo/tododial#$1
tddm		https://w3id.org/todo/tododm	https://w3id.org/todo/tododm#$1
tddom		https://w3id.org/todo/tododom	https://w3id.org/todo/tododom#$1
tddt		https://w3id.org/todo/tododt	https://w3id.org/todo/tododt#$1
tddw		https://w3id.org/todo/tododw	https://w3id.org/todo/tododw#$1
te		http://www.w3.org/2006/time-entry	http://www.w3.org/2006/time-entry#$1
teach		http://linkedscience.org/teach/ns#	http://linkedscience.org/teach/ns#$1
tempo		http://purl.org/tempo	http://purl.org/tempo/$1
test		http://www.w3.org/TR/test-metadata/	http://www.w3.org/2006/03/test-description#$1
tfo		https://privatealpha.com/ontology/transformation/1#	https://privatealpha.com/ontology/transformation/1#$1
theatre		http://purl.org/theatre#	http://purl.org/theatre#$1
thors		http://resource.geosciml.org/ontology/timescale/thors	http://resource.geosciml.org/ontology/timescale/thors#$1
ti		http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl	http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#$1
tio		http://purl.org/tio/ns#	http://purl.org/tio/ns#$1
tis		http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl	http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl$1
tisc		http://www.observedchange.com/tisc/ns#	http://observedchange.com/tisc/ns#$1
tl		http://motools.sourceforge.net/timeline/timeline.html	http://purl.org/NET/c4dm/timeline.owl#$1
tm		http://def.seegrid.csiro.au/isotc211/iso19108/2002/temporal	http://def.seegrid.csiro.au/isotc211/iso19108/2002/temporal#$1
tmo		http://www.w3.org/2001/sw/hcls/ns/transmed/	http://www.w3.org/2001/sw/hcls/ns/transmed/$1
toco		http://purl.org/toco/	http://purl.org/toco/$1
todo		https://w3id.org/todo	https://w3id.org/todo#$1
topo		http://data.ign.fr/def/topo	http://data.ign.fr/def/topo#$1
tp		http://tour-pedia.org/download/tp.owl	http://tour-pedia.org/download/tp.owl#$1
traffic		http://here.com/traffic	http://www.sensormeasurement.appspot.com/ont/transport/traffic#$1
trait		http://contextus.net/ontology/ontomedia/ext/common/trait#	http://contextus.net/ontology/ontomedia/ext/common/trait#$1
transit		http://vocab.org/transit/terms/	http://vocab.org/transit/terms/$1
trao		http://linkeddata.finki.ukim.mk/lod/ontology/tao#	http://linkeddata.finki.ukim.mk/lod/ontology/tao#$1
tree		https://w3id.org/tree	https://w3id.org/tree#$1
tresiot		https://liidr.org/trust-recommendation-in-social-internet-of-things/	https://liidr.org/trust-recommendation-in-social-internet-of-things/$1
tribont		https://w3id.org/tribont	https://w3id.org/tribont#$1
tribont-core		https://w3id.org/tribont/core	https://w3id.org/tribont/core#$1
tribont-equipment		https://w3id.org/tribont/equipment	https://w3id.org/tribont/equipment#$1
tribont-material		https://w3id.org/tribont/material	https://w3id.org/tribont/material#$1
tribont-sample		https://w3id.org/tribont/sample	https://w3id.org/tribont/sample#$1
tsioc		http://rdfs.org/sioc/spec/#sec-modules	http://rdfs.org/sioc/types#$1
tsn		http://purl.org/net/tsn#	http://purl.org/net/tsn#$1
tsnc		http://purl.org/net/tsnchange#	http://purl.org/net/tsnchange#$1
turismo		http://idi.fundacionctic.org/cruzar/turismo	http://idi.fundacionctic.org/cruzar/turismo#$1
tvc		http://www.essepuntato.it/2012/04/tvc	http://www.essepuntato.it/2012/04/tvc/$1
txn		http://lod.taxonconcept.org/ontology/txn.owl	http://lod.taxonconcept.org/ontology/txn.owl#$1
tzont		http://www.w3.org/2006/timezone	http://www.w3.org/2006/timezone#$1
uby		https://www.ukp.tu-darmstadt.de/data/lexical-resources/uby	http://purl.org/olia/ubyCat.owl#$1
uco		http://ontologies.makolab.com/uco/ns.html#	http://purl.org/uco/ns#$1
ui		http://www.w3.org/ns/ui	http://www.w3.org/ns/ui#$1
uiot		http://www.w3id.org/urban-iot/core	http://www.w3id.org/urban-iot/core#$1
uiote		http://www.w3id.org/urban-iot/electric	http://www.w3id.org/urban-iot/electric#$1
uiots		http://www.w3id.org/urban-iot/sharing	http://www.w3id.org/urban-iot/sharing#$1
umbel		http://umbel.org/umbel	http://umbel.org/umbel#$1
uneskos		http://purl.org/umu/uneskos	http://purl.org/umu/uneskos#$1
uri4uri		http://uri4uri.net/vocab	http://uri4uri.net/vocab#$1
usability		https://w3id.org/usability	https://w3id.org/usability#$1
va		http://code-research.eu/ontology/visual-analytics	http://code-research.eu/ontology/visual-analytics#$1
vaem		http://linkedmodel.org/doc/vaem/1.2/	http://www.linkedmodel.org/schema/vaem#$1
vag		http://www.essepuntato.it/2013/10/vagueness	http://www.essepuntato.it/2013/10/vagueness/$1
vartrans		http://www.w3.org/ns/lemon/vartrans	http://www.w3.org/ns/lemon/vartrans#$1
vcard		http://www.w3.org/TR/vcard-rdf/	http://www.w3.org/2006/vcard/ns#$1
vdpp		http://data.lirmm.fr/ontologies/vdpp.html	http://data.lirmm.fr/ontologies/vdpp#$1
veo		http://linkeddata.finki.ukim.mk/lod/ontology/veo#	http://linkeddata.finki.ukim.mk/lod/ontology/veo#$1
vgo		http://purl.org/net/VideoGameOntology	http://purl.org/net/VideoGameOntology#$1
vin		http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine	http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#$1
vir		http://w3id.org/vir#	http://w3id.org/vir#$1
vivo		http://www.vivoweb.org/download	http://vivoweb.org/ontology/core#$1
vmm		http://spi-fm.uca.es/spdef/models/genericTools/vmm/1.0	http://spi-fm.uca.es/spdef/models/genericTools/vmm/1.0#$1
voaf		http://purl.org/vocommons/voaf/index.html	http://purl.org/vocommons/voaf#$1
voag		http://voag.linkedmodel.org/schema/voag	http://voag.linkedmodel.org/voag#$1
vocals		http://w3id.org/rsp/vocals#	http://w3id.org/rsp/vocals#$1
voidext		http://purl.org/query/voidext	http://purl.org/query/voidext#$1
voidwh		http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl	http://www.ics.forth.gr/isl/VoIDWarehouse/VoID_Extension_Schema.owl$1
vra		http://simile.mit.edu/2003/10/ontologies/vraCore3#	http://simile.mit.edu/2003/10/ontologies/vraCore3#$1
vrank		http://vocab.sti2.at/vrank	http://purl.org/voc/vrank#$1
vs		http://www.w3.org/2003/06/sw-vocab-status/ns	http://www.w3.org/2003/06/sw-vocab-status/ns#$1
vsearch		http://purl.org/vsearch/	http://purl.org/vsearch/$1
vso		http://purl.org/vso/ns	http://purl.org/vso/ns#$1
vvo		http://purl.org/vvo/ns.html	http://purl.org/vvo/ns#$1
w3c-ssn		https://www.w3.org/ns/ssn	https://www.w3.org/ns/ssn/$1
wai		http://vocab.ctic.es/wai/wai.html	http://purl.org/wai#$1
wdrs		http://www.w3.org/2007/05/powder-s	http://www.w3.org/2007/05/powder-s#$1
wf-invoc		http://www.opmw.org/model/wf-invocation/	http://purl.org/net/wf-invocation#$1
wfdesc		http://purl.org/wf4ever/wfdesc	http://purl.org/wf4ever/wfdesc#$1
wfm		http://vocab.linkeddata.es/motifs/	http://purl.org/net/wf-motifs#$1
wfont		https://w3id.org/wfont	https://w3id.org/wfont#$1
wfprov		http://purl.org/wf4ever/wfprov	http://purl.org/wf4ever/wfprov#$1
whisky		http://vocab.org/whisky/terms	http://vocab.org/whisky/terms/$1
whois		http://www.kanzaki.com/ns/whois	http://www.kanzaki.com/ns/whois#$1
wi		http://purl.org/ontology/wi/core#	http://purl.org/ontology/wi/core#$1
wikibase		shorturl.at/jkGVZ	http://wikiba.se/ontology#$1
wikim		http://spi-fm.uca.es/spdef/models/genericTools/wikim/1.0	http://spi-fm.uca.es/spdef/models/genericTools/wikim/1.0#$1
wl		http://www.wsmo.org/ns/wsmo-lite/	http://www.wsmo.org/ns/wsmo-lite#$1
wlo		http://www.bbc.co.uk/ontologies/wildlife/2010-11-04.shtml	http://purl.org/ontology/wo/$1
wo		http://purl.org/ontology/wo/core#	http://purl.org/ontology/wo/core#$1
wot		http://xmlns.com/wot/0.1/	http://xmlns.com/wot/0.1/$1
wotsec		https://www.w3.org/2019/wot/security#	https://www.w3.org/2019/wot/security#$1
xapi		https://github.com/adlnet/xAPI-Spec/blob/1.0.3/xAPI.md	http://purl.org/xapi/ontology#$1
xbrll		https://w3id.org/vocab/xbrll	https://w3id.org/vocab/xbrll#$1
xhv		http://www.w3.org/1999/xhtml/vocab	http://www.w3.org/1999/xhtml/vocab#$1
xkos		http://rdf-vocabulary.ddialliance.org/xkos	http://rdf-vocabulary.ddialliance.org/xkos#$1
yoga		https://yogaontology.org/ontology/	https://yogaontology.org/ontology/$1
zbwext		http://zbw.eu/namespaces/zbw-extensions	http://zbw.eu/namespaces/zbw-extensions/$1
