#curie_map:
#  aberowl: http://aber-owl.net/ontology/
#  agroportal: http://agroportal.lirmm.fr/ontologies/
#  bartoc: https://bartoc.org/en/node/
#  biocontext: https://bioregistry.io/metaregistry/biocontext/
#  biolink: https://bioregistry.io/metaregistry/biolink/resolve/
#  bioportal: https://bioportal.bioontology.org/ontologies/
#  bioregistry: https://bioregistry.io/registry/
#  bioregistry.schema: https://bioregistry.io/schema/#
#  cellosaurus.resource: https://bioregistry.io/metaregistry/cellosaurus/resolve/
#  cheminf: https://semanticscience.org/resource/CHEMINF_
#  cropoct: https://cropontology.org/ontology/
#  ecoportal: http://ecoportal.lifewatch.eu/ontologies/
#  edam: http://edamontology.org/data_
#  fairsharing: https://fairsharing.org/
#  go.resource: https://bioregistry.io/metaregistry/go/resolve/
#  integbio: https://catalog.integbio.jp/dbcatalog/en/record/
#  lov: https://lov.linkeddata.es/dataset/lov/vocabs/
#  miriam: https://registry.identifiers.org/registry/
#  n2t: https://bioregistry.io/metaregistry/n2t/resolve/
#  ncbi.resource: https://bioregistry.io/metaregistry/ncbi/resolve/
#  obofoundry: https://www.obofoundry.org/ontology/
#  oid: https://oid-base.com/get/
#  ols: https://www.ebi.ac.uk/ols4/ontologies/
#  ontobee: http://www.ontobee.org/ontology/
#  pathguide: http://www.pathguide.org/fullrecord.php?DBID=
#  prefixcommons: https://registry.bio2kg.org/resource/
#  re3data: https://www.re3data.org/repository/
#  rrid: https://bioregistry.io/metaregistry/rrid/resolve/
#  tib.ts: https://terminology.tib.eu/ts/ontologies/
#  togoid: https://togoid.dbcls.jp/#
#  uniprot.resource: https://www.uniprot.org/database/
#  wikidata: http://www.wikidata.org/entity/
#  zazuko: https://bioregistry.io/metaregistry/zazuko/resolve/
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://github.com/biopragmatics/bioregistry/raw/main/exports/sssom/bioregistry.sssom.tsv
#mapping_set_title: Bioregistry
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	creator_id	issue_tracker_item	comment
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		edam:2741	ABS	semapv:UnspecifiedMatching			
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		miriam:abs	ABS	semapv:UnspecifiedMatching			
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		n2t:abs	ABS at IMIM	semapv:UnspecifiedMatching			
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		pathguide:217	Annotated regulatory Binding Sites	semapv:UnspecifiedMatching			
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		prefixcommons:abs	ABS: a database of Annotated regulatory Binding Sites from Orthologous Promoters	semapv:UnspecifiedMatching			
bioregistry:abs	Annotated Regulatory Binding Sites	skos:exactMatch		wikidata:Q111134507		semapv:UnspecifiedMatching			
bioregistry:ac		skos:exactMatch	Not	bioportal:AC		semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
bioregistry:ac		skos:exactMatch	Not	fairsharing:FAIRsharing.md3e78		semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
bioregistry:ac		skos:exactMatch	Not	lov:ac		semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
bioregistry:ac	Activity Streams	skos:exactMatch		wikidata:Q4677626		semapv:UnspecifiedMatching			
bioregistry:ac	Activity Streams	skos:exactMatch		zazuko:as		semapv:UnspecifiedMatching			
bioregistry:ac.subtype	Audubon Core Subtype Controlled Vocabulary	skos:exactMatch		ecoportal:ACSUBTYPE	Audubon Core subtype Controlled Vocabulary	semapv:UnspecifiedMatching			
bioregistry:ac.subtype	Audubon Core Subtype Controlled Vocabulary	skos:exactMatch		tib.ts:acsubtype		semapv:UnspecifiedMatching			
bioregistry:ac.variant	Audubon Core Variant Controlled Vocabulary	skos:exactMatch		ecoportal:ACVARIANT	Audubon Core variant Controlled Vocabulary	semapv:UnspecifiedMatching			
bioregistry:ac.variant	Audubon Core Variant Controlled Vocabulary	skos:exactMatch		tib.ts:acvariant		semapv:UnspecifiedMatching			
bioregistry:aceview.worm	Aceview Worm	skos:exactMatch		biocontext:ACEVIEW.WORM		semapv:UnspecifiedMatching			
bioregistry:aceview.worm	Aceview Worm	skos:exactMatch		miriam:aceview.worm	Aceview Worm	semapv:UnspecifiedMatching			
bioregistry:aceview.worm	Aceview Worm	skos:exactMatch		n2t:aceview.worm	AceView Worm at NCBI	semapv:UnspecifiedMatching			
bioregistry:aceview.worm	Aceview Worm	skos:exactMatch		prefixcommons:aceview.worm	AceView Worm Genome	semapv:UnspecifiedMatching			
bioregistry:acl	Basic Access Control ontology	skos:exactMatch		bartoc:17815	Basic Access Control ontology	semapv:UnspecifiedMatching			
bioregistry:acl	Basic Access Control ontology	skos:exactMatch		lov:acl	Basic Access Control ontology	semapv:UnspecifiedMatching			
bioregistry:acl	Basic Access Control ontology	skos:exactMatch		zazuko:acl		semapv:UnspecifiedMatching			
bioregistry:adcad	Arctic Data Center Academic Disciplines Ontology	skos:exactMatch		aberowl:ADCAD	Arctic Data Center Academic Disciplines Ontology	semapv:UnspecifiedMatching			
bioregistry:adcad	Arctic Data Center Academic Disciplines Ontology	skos:exactMatch		bioportal:ADCAD	Arctic Data Center Academic Disciplines Ontology	semapv:UnspecifiedMatching			
bioregistry:addexbio	AddexBio cell line products	skos:exactMatch		cellosaurus.resource:AddexBio		semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		integbio:nbdc00356	addgene	semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		miriam:addgene	Addgene Plasmid Repository	semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		n2t:addgene	Addgene Plasmid Repository	semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		prefixcommons:addgene	Addgene	semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		re3data:r3d100010741	Addgene	semapv:UnspecifiedMatching			
bioregistry:addgene	Addgene Plasmid Repository	skos:exactMatch		rrid:Addgene	Addgene	semapv:UnspecifiedMatching			
bioregistry:addicto	Addiction Ontology	skos:exactMatch		ols:addicto	Addiction Ontology	semapv:UnspecifiedMatching			
bioregistry:adms	Asset Description Metadata Schema Vocabulary	skos:exactMatch		bartoc:17818	Asset Description Metadata Schema	semapv:UnspecifiedMatching			
bioregistry:adms	Asset Description Metadata Schema Vocabulary	skos:exactMatch		lov:adms	Asset Description Metadata Schema	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	bioregistry.schema:0000017		bioregistry:bfo		semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		aberowl:ADO	Alzheimer's Disease Ontology	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		bioportal:ADO	Alzheimer's Disease Ontology	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		fairsharing:FAIRsharing.ckd4rf	Alzheimer's Disease Ontology	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		obofoundry:ado	Alzheimer's Disease Ontology	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		ols:ado	Alzheimer's Disease Ontology (ADO)	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		ontobee:ADO	Alzheimer's Disease Ontology	semapv:UnspecifiedMatching			
bioregistry:ado	Alzheimer's Disease Ontology	skos:exactMatch		wikidata:Q54887745		semapv:UnspecifiedMatching			
bioregistry:adw		skos:exactMatch		aberowl:ADW		semapv:ManualMappingCuration	orcid:0009-0008-8406-631X	bioregistry.issue:1496	
bioregistry:adw	Animal natural history and life history	skos:exactMatch		aberowl:ADW	Animal Natural History and Life History Ontology	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		agroportal:ADW	Animal Natural History and Life History Ontology	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		biocontext:ADW		semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		bioportal:ADW	Animal Natural History and Life History Ontology	semapv:UnspecifiedMatching			
bioregistry:adw		skos:exactMatch		fairsharing:FAIRsharing.t9fvdn		semapv:ManualMappingCuration	orcid:0009-0008-8406-631X	bioregistry.issue:1496	
bioregistry:adw	Animal natural history and life history	skos:exactMatch		fairsharing:FAIRsharing.t9fvdn	Animal natural history and life history	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		miriam:adw	Animal Diversity Web	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		n2t:adw	Animal Diversity Web at University of Michigan	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		obofoundry:adw	Animal natural history and life history	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		prefixcommons:adw	Animal Diversity Web	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		wikidata:P4024	ADW taxon ID	semapv:UnspecifiedMatching			
bioregistry:adw	Animal natural history and life history	skos:exactMatch		wikidata:Q114677837	ADW taxon ID	semapv:UnspecifiedMatching			
bioregistry:aeo	Anatomical Entity Ontology	bioregistry.schema:0000018		bioregistry:ehdaa2		semapv:UnspecifiedMatching			
bioregistry:aeo	Anatomical Entity Ontology	skos:exactMatch		aberowl:AEO	Anatomical Entity Ontology	semapv:UnspecifiedMatching			
bioregistry:aeo		skos:exactMatch	Not	agroportal:AEO		semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
bioregistry:aeo	Anatomical Entity Ontology	skos:exactMatch		bartoc:181	Ontology of Anatomical Entities	semapv:UnspecifiedMatching			
bioregistry:aeo	Anatomical Entity Ontology	skos:exactMatch		biocontext:AEO		semapv:UnspecifiedMatching			
